@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
93,'2019/12/08 21:37:28:318',11,480.457672,305.68103,51.152554,535.642151,233.994873,50.659042,553.562012,226.183685,45.351093,505.945496,360.19165,45.857964,514.10553,354.970764,43.29192,180,?,0
94,'2019/12/08 21:37:28:369',11,481.008301,305.673035,51.175377,535.583984,233.828644,50.55061,553.612183,226.146576,45.22493,506.543518,360.241913,45.955086,514.514221,355.003723,43.364258,180,?,0
95,'2019/12/08 21:37:28:419',11,481.211121,305.587128,51.187229,535.61499,233.71582,50.503559,553.762207,226.109741,45.179062,506.986877,360.239319,46.021332,514.762329,354.992828,43.411827,180,?,0
96,'2019/12/08 21:37:28:468',11,480.981445,305.372498,51.153946,535.39093,233.531982,50.466267,553.584106,225.965149,45.139885,507.368713,360.144226,46.065277,514.922302,354.88855,43.43895,180,?,0
97,'2019/12/08 21:37:28:520',11,480.246826,305.0448,51.117607,534.866577,233.18219,50.394005,552.991333,225.654877,45.080139,507.665802,359.904968,46.108574,515.028442,354.66095,43.466721,180,?,0
98,'2019/12/08 21:37:28:569',11,479.003815,304.129578,51.02248,534.138672,232.55368,50.333988,552.074707,225.013977,45.025852,508.118835,359.384613,46.109657,515.220154,354.11438,43.452274,180,?,0
99,'2019/12/08 21:37:28:619',11,477.835938,303.513489,51.051254,533.644531,232.140808,50.389805,550.794922,224.380493,45.174374,508.549316,358.960571,46.043373,515.343384,353.608459,43.375645,180,?,0
100,'2019/12/08 21:39:01:950',12,443.054749,413.325134,50.393372,412.76535,360.721344,68.082191,465.782806,416.141571,50.705051,435.863892,417.643738,48.87767,410.410004,411.283447,46.336697,90,?,88.2
101,'2019/12/08 21:39:02:000',12,442.974213,413.558746,50.240192,412.942932,360.33905,68.032394,465.961487,416.379089,50.563122,436.127014,417.806,48.742161,410.63623,411.399567,46.215298,90,?,88.2
102,'2019/12/08 21:39:02:050',12,442.734619,413.725708,50.111912,412.898682,359.940613,67.985924,465.982727,416.509521,50.468449,436.208221,417.882996,48.648209,410.669281,411.449402,46.132931,90,?,88.2
103,'2019/12/08 21:39:02:100',12,442.058685,413.895447,49.955887,412.41153,359.786926,67.952484,465.620697,416.690552,50.406445,435.953979,417.956085,48.559929,410.468109,411.458954,46.045708,90,?,88.2
104,'2019/12/08 21:39:02:148',12,441.233948,414.023468,49.823292,411.975647,359.972046,67.938309,465.257996,416.839539,50.355259,435.76004,417.992767,48.466637,410.298553,411.464233,45.958122,90,?,88.2
105,'2019/12/08 21:39:02:199',12,440.907227,414.089661,49.729027,411.760376,360.171173,67.923172,465.197723,416.895355,50.306763,435.932648,417.950195,48.360737,410.353882,411.459259,45.879738,90,?,88.2
106,'2019/12/08 21:39:02:250',12,441.133026,414.009064,49.580807,411.660583,360.484283,67.828735,465.400879,416.774353,50.106342,437.217682,417.546539,47.926987,410.856293,411.326172,45.594482,90,?,88.2
107,'2019/12/08 21:39:02:300',12,440.660004,414.105316,49.409981,411.57132,361.021332,67.761551,465.136536,416.850281,49.787201,436.986908,417.449371,47.663685,410.682068,411.111694,45.327103,90,?,88.2
108,'2019/12/08 21:39:02:348',12,440.466248,414.171753,49.297165,411.524078,361.090729,67.698792,464.890137,416.904297,49.616867,436.675751,417.461517,47.539268,410.444641,411.023407,45.201897,90,?,88.2
109,'2019/12/08 21:39:02:400',12,440.824738,414.237457,49.124321,411.876953,361.208801,67.601181,464.996704,416.946259,49.409977,436.728943,417.440186,47.358559,410.567291,410.926819,45.028988,90,?,88.2
110,'2019/12/08 21:39:10:015',13,522.648926,421.471069,38.893486,632.438782,390.374542,56.42202,631.743591,403.570007,57.36903,538.157288,410.754364,40.404926,509.093994,409.401031,42.083286,90,?,0
111,'2019/12/08 21:39:10:065',13,522.791809,421.309204,38.946125,632.323425,389.960571,56.46645,633.113159,402.048645,57.473732,537.411133,410.542938,40.376598,508.632172,409.155273,42.077202,90,?,0
112,'2019/12/08 21:39:10:114',13,523.610107,420.929077,38.973091,632.442505,388.79068,56.363514,634.496948,400.137451,57.418465,536.495911,410.130981,40.353195,507.896393,408.871124,42.079376,90,?,0
113,'2019/12/08 21:39:10:164',13,524.967957,420.745209,38.981308,632.6297,387.773193,56.238247,635.749329,398.426056,57.346245,535.743713,409.940308,40.317398,507.287903,408.819214,42.079887,90,?,0
114,'2019/12/08 21:39:10:215',13,525.8573,420.685486,38.993668,632.569702,387.210388,56.238064,636.567444,397.406952,57.345428,535.456665,409.867981,40.30315,507.058319,408.803009,42.082092,90,?,0
115,'2019/12/08 21:39:10:264',13,526.032043,420.672394,38.999619,632.486816,386.854492,56.257416,637.152344,396.721558,57.352219,535.267029,409.819458,40.289997,506.923035,408.788452,42.079773,90,?,0
